Date,Quantity
2011-04-15,8.0
2011-04-16,0.0
2011-04-17,23.0
2011-04-18,2102.0
2011-04-19,110.0
2011-04-20,73.0
2011-04-21,137.0
2011-04-22,0.0
2011-04-23,0.0
2011-04-24,0.0
2011-04-25,0.0
2011-04-26,179.0
2011-04-27,73.0
2011-04-28,111.0
2011-04-29,0.0
2011-04-30,0.0
2011-05-01,12.0
2011-05-02,0.0
2011-05-03,317.0
2011-05-04,85.0
2011-05-05,421.0
2011-05-06,179.0
2011-05-07,0.0
2011-05-08,142.0
2011-05-09,216.0
2011-05-10,142.0
2011-05-11,120.0
2011-05-12,227.0
2011-05-13,25.0
2011-05-14,0.0
2011-05-15,143.0
2011-05-16,201.0
2011-05-17,156.0
2011-05-18,73.0
2011-05-19,108.0
2011-05-20,92.0
2011-05-21,0.0
2011-05-22,153.0
2011-05-23,113.0
2011-05-24,144.0
2011-05-25,68.0
2011-05-26,653.0
2011-05-27,22.0
2011-05-28,0.0
2011-05-29,26.0
2011-05-30,0.0
2011-05-31,168.0
2011-06-01,29.0
2011-06-02,353.0
2011-06-03,29.0
2011-06-04,0.0
2011-06-05,49.0
2011-06-06,108.0
2011-06-07,56.0
2011-06-08,109.0
2011-06-09,4015.0
2011-06-10,68.0
2011-06-11,0.0
2011-06-12,33.0
2011-06-13,17.0
2011-06-14,50.0
2011-06-15,118.0
2011-06-16,42.0
2011-06-17,15.0
2011-06-18,0.0
2011-06-19,147.0
2011-06-20,29.0
2011-06-21,13.0
2011-06-22,18.0
2011-06-23,106.0
2011-06-24,38.0
2011-06-25,0.0
2011-06-26,32.0
2011-06-27,66.0
2011-06-28,13.0
2011-06-29,77.0
2011-06-30,46.0
2011-07-01,39.0
2011-07-02,0.0
2011-07-03,18.0
2011-07-04,8.0
2011-07-05,134.0
2011-07-06,5.0
2011-07-07,59.0
2011-07-08,32.0
2011-07-09,0.0
2011-07-10,20.0
2011-07-11,81.0
2011-07-12,786.0
2011-07-13,58.0
2011-07-14,224.0
2011-07-15,23.0
2011-07-16,0.0
2011-07-17,23.0
2011-07-18,114.0
2011-07-19,157.0
2011-07-20,104.0
2011-07-21,52.0
2011-07-22,132.0
2011-07-23,0.0
2011-07-24,160.0
2011-07-25,43.0
2011-07-26,8.0
2011-07-27,58.0
2011-07-28,490.0
2011-07-29,74.0
2011-07-30,0.0
2011-07-31,107.0
2011-08-01,61.0
2011-08-02,32.0
2011-08-03,91.0
2011-08-04,130.0
2011-08-05,38.0
2011-08-06,0.0
2011-08-07,89.0
2011-08-08,73.0
2011-08-09,121.0
2011-08-10,132.0
2011-08-11,60.0
2011-08-12,28.0
2011-08-13,0.0
2011-08-14,52.0
2011-08-15,104.0
2011-08-16,87.0
2011-08-17,69.0
2011-08-18,15.0
2011-08-19,6.0
2011-08-20,0.0
2011-08-21,15.0
2011-08-22,420.0
2011-08-23,122.0
2011-08-24,58.0
2011-08-25,107.0
2011-08-26,24.0
2011-08-27,0.0
2011-08-28,42.0
2011-08-29,0.0
2011-08-30,63.0
2011-08-31,37.0
2011-09-01,112.0
2011-09-02,166.0
2011-09-03,0.0
2011-09-04,16.0
2011-09-05,95.0
2011-09-06,184.0
2011-09-07,16.0
2011-09-08,27.0
2011-09-09,29.0
2011-09-10,0.0
2011-09-11,89.0
2011-09-12,117.0
2011-09-13,131.0
2011-09-14,85.0
2011-09-15,144.0
2011-09-16,100.0
2011-09-17,0.0
2011-09-18,81.0
2011-09-19,42.0
2011-09-20,398.0
2011-09-21,11.0
2011-09-22,58.0
2011-09-23,127.0
2011-09-24,0.0
2011-09-25,69.0
2011-09-26,48.0
2011-09-27,17.0
2011-09-28,125.0
2011-09-29,80.0
2011-09-30,111.0
2011-10-01,0.0
2011-10-02,21.0
2011-10-03,23.0
2011-10-04,20.0
2011-10-05,49.0
2011-10-06,13.0
2011-10-07,34.0
2011-10-08,0.0
2011-10-09,26.0
2011-10-10,123.0
2011-10-11,46.0
2011-10-12,25.0
2011-10-13,243.0
2011-10-14,187.0
2011-10-15,0.0
2011-10-16,55.0
2011-10-17,69.0
2011-10-18,21.0
2011-10-19,39.0
2011-10-20,26.0
2011-10-21,13.0
2011-10-22,0.0
2011-10-23,63.0
2011-10-24,76.0
2011-10-25,16.0
2011-10-26,17.0
2011-10-27,117.0
2011-10-28,90.0
2011-10-29,0.0
2011-10-30,128.0
2011-10-31,149.0
2011-11-01,39.0
2011-11-02,80.0
2011-11-03,1265.0
2011-11-04,85.0
2011-11-05,0.0
2011-11-06,86.0
2011-11-07,95.0
2011-11-08,97.0
2011-11-09,113.0
2011-11-10,71.0
2011-11-11,134.0
2011-11-12,0.0
2011-11-13,65.0
2011-11-14,380.0
2011-11-15,457.0
2011-11-16,157.0
2011-11-17,102.0
2011-11-18,125.0
2011-11-19,0.0
2011-11-20,101.0
2011-11-21,36.0
2011-11-22,253.0
2011-11-23,248.0
2011-11-24,131.0
2011-11-25,222.0
2011-11-26,0.0
2011-11-27,8.0
2011-11-28,133.0
2011-11-29,116.0
2011-11-30,311.0
2011-12-01,41.0
2011-12-02,117.0
2011-12-03,0.0
2011-12-04,8.0
2011-12-05,298.0
2011-12-06,39.0
2011-12-07,200.0
2011-12-08,108.0
2011-12-09,4.0
